backdoor.propensity_score_matching,backdoor.propensity_score_weighting,backdoor.propensity_score_stratification,backdoor.linear_regression,backdoor.distance_matching,backdoor.T_learner
6.8031709203402935,7.054173385285296,6.734669725813014,6.794709107832482,6.195862335653519,6.944661141084868
6.214230471771075,6.975674337902092,6.667972302650619,6.769412110207753,6.1703402938901775,6.875824008613223
6.410576179427688,6.958923076721625,6.68813061564384,6.731585031860746,6.2486465583913375,6.864160838572286
6.455336426914153,7.217122110418174,7.15481516518132,6.9506677298284885,6.730665119876257,7.074167770633322
6.391627996906419,7.338271658742002,7.04733260207828,7.076494112559516,6.409899458623356,7.245720371931965
6.7797757153905645,7.431245810814502,7.206628405025728,7.135064792711013,6.587780355761795,7.267009099956065
6.67623743232792,7.195750076563527,6.872063391841314,6.882536263044351,6.890661252900232,7.100102318835266
7.125386697602475,7.331722705858873,6.955535381206869,7.041928183782112,6.835073472544471,7.220535054387093
6.3765467904099,6.911408565728081,6.598367902762425,6.708798548275276,6.2983372003093585,6.793445316311755
6.886020881670533,7.232049187543353,6.830818559619767,6.993346096332317,6.440738592420727,7.134436687704879
6.615429234338747,7.109701367262602,6.837379500113129,6.833469301167526,6.6889017788089715,7.006718212777097
6.498066511987625,7.250931173001419,6.835861291176776,6.992862156784227,6.45630317092034,7.120533499758346
6.606535189481825,7.246233440103296,6.791511177440364,6.986873803082034,6.505123743232792,7.14697511545083
7.201082753286929,7.394742809800661,7.110423851076016,7.214891463951005,6.872293116782676,7.259097271062633
6.990622583139984,7.257872179275971,7.012440405887842,7.025891878560387,6.5639984532095905,7.075268295647303
6.672757153905645,7.400612305787156,7.158217913555762,7.11347853814263,6.41869682907966,7.310453339759205
6.424303944315545,7.201050460986444,6.790317480330866,6.956901959612097,6.265661252900232,7.062849879846399
6.275522041763341,7.365437539739226,6.973051439632072,7.114551558768703,6.439578499613303,7.235614615670463
6.504156999226605,7.372912249613734,6.956382797052298,7.058789245954991,6.362335653518948,7.223180498958791
6.458623356535189,6.777893131168717,6.512815682461797,6.671240446904136,5.80723124516628,6.736061645116746
6.472834493426141,6.875287257581412,6.765317456156959,6.695866020533124,6.054814385150812,6.722284735012076
7.215970610982212,7.384802277979652,7.101271383190892,7.109223351406818,6.718000773395205,7.274880646561023
6.820378963650425,6.862529890693949,6.41464954853166,6.622197524399468,6.502223511214231,6.727026210560589
6.75,7.068032289456454,6.347977206497168,6.890328349940972,6.304717710750193,6.886009500312997
6.123549883990719,7.159882442751723,6.699819836558343,6.914746058342914,6.380703789636504,7.093705216602823
7.099574632637277,7.252045008125464,6.828845587384015,6.9854510933680345,6.309648105181748,7.0969061331904975
6.338167053364269,7.238704318472678,6.834770428227151,6.946152207515453,6.221577726218097,7.119824129389001
6.1002513534416085,7.184991936847275,6.774202523104343,6.916638527109789,6.263051044083527,7.055121507930774
6.375386697602475,7.5169462514045975,7.0935838973661,7.223673264590474,6.951469450889404,7.355148581288352
6.257830626450116,7.223547401988924,6.9453334649404495,6.980266139861499,6.270784996133024,7.13226681706733
6.555587780355761,7.026334233646118,6.5954221838581475,6.782522783814727,6.379156999226605,6.848558376726524
6.228441608662027,6.835332187371087,6.577554699801684,6.656025191929125,5.811388244392885,6.687855916530989
6.103538283062645,6.937221167210566,6.613512208520858,6.7090893666806934,6.039056457849961,6.837495855401204
6.404292343387471,7.17091258433053,6.946730062223846,6.925221754577855,6.330336426914153,7.001227373272267
6.766434648105181,7.072595245165928,6.932540537112121,6.7714995272433285,6.534706109822119,6.975815866898276
6.646268368136117,6.9922096325428456,6.6430344920572315,6.746256133773123,6.616686001546791,6.9141382057479674
6.075212683681361,6.4968445082844255,6.19882124362642,6.23154328057683,6.0691221964423825,6.330803959480784
6.362529002320185,7.03378857064525,6.66375174521396,6.772207853169299,6.5,6.926736360291686
6.606631863882444,6.866536075517544,6.600490928054201,6.635347112687938,6.517208043310132,6.80581532613578
6.1940255220417635,7.071937493738133,6.73250634757487,6.855435977139656,6.221287703016241,6.949340490335364
6.821925754060325,6.887038632280714,6.537981341173344,6.6733371571665,6.444992266047951,6.785905622277359
6.395398298530549,6.6719017286490825,6.348701337576025,6.375701230380031,6.115235885537509,6.47480572687081
6.48791569992266,7.0894802795731096,6.534294424345659,6.81395735147543,6.229891724671307,6.927782825827555
6.815835266821345,7.682035362079873,7.432522729563385,7.349956469894288,6.9567865429234335,7.571315070453529
6.354505027068832,7.143905461121989,6.885310010531539,6.94258736551501,6.173723897911833,6.977179663824367
7.139984532095901,7.3246786391257785,7.032111940020801,7.0975993249572795,6.8971384377416864,7.1869715065825295
6.520398298530549,7.356893728007584,6.882937978389152,7.043347703514435,6.538959783449343,7.2432304676986865
6.105085073472544,6.84318949987874,6.798817624845964,6.606137485925345,5.865525908739365,6.682326679459689
6.328112915699923,6.704028573793337,6.594858088158723,6.520264581364472,6.317188708430008,6.578048058265958
6.7201276102088165,7.136173296334825,6.757975414819134,6.896733734380874,6.625676720804331,6.947004165189256
6.661639597834493,7.11029448113851,6.77085956451178,6.902891647547875,6.390177880897139,6.951663053517812
6.8423240525908735,6.948357976520107,6.544611180637463,6.679477229203712,6.491589327146172,6.869123693505776
6.725058004640371,7.296635406940538,7.187419221800131,7.043297772074908,6.517208043310132,7.187365263848614
6.833430007733952,7.229668567391549,6.933946218722824,6.912824518875688,6.424110595514308,7.136129293002841
6.112045630317092,6.791884941106318,6.384616625740116,6.515121958861862,5.536059551430781,6.742692245338505
6.865042536736272,7.057222863206427,6.765763073412201,6.874345628169323,6.519334880123743,7.001228696839112
6.468870843000773,7.0502296198353065,6.659016722086875,6.803788831169392,6.167730085073472,6.994535801580567
6.740235885537509,7.22382411756427,6.752531425951196,6.95751827861168,6.419663573085847,7.095694360715704
6.569508894044857,7.135887813024198,6.858424342107566,6.898807697474062,6.536929621036349,7.000909328318802
6.370552977571539,7.039363502442015,6.9173648739152105,6.818927731348587,6.1682134570765665,6.9353940423048615
6.514211136890951,7.364207973686916,7.004829593487577,7.126203135423708,6.984628770301624,7.246145928661107
6.086716937354988,7.255486493596038,6.880493006436513,6.970019734209103,6.4622969837587005,7.1132997642576115
6.312064965197216,6.972840646747343,6.804562890752285,6.826427841700145,6.299980665119876,6.926938171664468
6.5534609435421505,7.3596417118702036,7.026505447891663,7.101034316607901,6.589133797370456,7.303987431781045
6.397815158546017,7.12152624629492,6.969499858807175,6.865219350012474,6.465680587780356,7.005485412360169
6.778132250580047,6.954937322097244,6.566707346548468,6.719061671926092,6.605665119876257,6.8802718094107425
6.288186388244393,6.768132230691876,6.406062110689796,6.512439509773827,6.220804331013148,6.679001441132615
7.021848414539829,7.302873329853213,6.977519315195979,7.070632261523215,6.604988399071925,7.08139863545902
6.506283836040216,6.749855923327438,6.53239249279327,6.520371278829423,6.163283062645012,6.597509063462843
6.651585460170147,7.309711718506371,6.987475065365265,7.0750603241834185,6.671307037896365,7.264890976328092
6.588263727764888,7.256204369227014,6.898118667315241,6.971159082735845,6.389984532095901,7.155016047393707
6.542536736272235,7.11064285654593,6.836190261863181,6.849270807533955,6.5742459396751745,7.040105800814305
6.353538283062645,7.3223649265624715,6.802811040082071,6.972401030235623,6.378286929621036,7.165054037342441
6.5899071925754065,7.455238653329516,7.297137963760514,7.215976892370222,6.682327919566899,7.336746663106021
7.022815158546017,7.2533898893239765,6.974356401160073,7.056145457161968,6.828886310904872,7.09500381734112
