method,ate,se,ci_lower,ci_upper,n_boot
ipw,0.29637515215969046,0.42700650923322414,-0.4028202640167414,0.7897209052711717,10
matching,-2.449646335059401,0.7819266854062304,-3.4571502391185382,-1.2314623080071891,10
aipw,0.23468689530025957,0.39502679295134524,-0.3078576402603266,0.8166103071269118,10
