method,ate,se,ci_lower,ci_upper,n_boot
aipw_custom,-21.92553892082417,,-21.92553892082417,-21.92553892082417,1
backdoor.linear_regression,4.456614502859416,,4.456614502859416,4.456614502859416,1
backdoor.propensity_score_matching,4.238533158165305,,4.238533158165305,4.238533158165305,1
backdoor.propensity_score_stratification,4.608654531006201,,4.608654531006201,4.608654531006201,1
backdoor.propensity_score_weighting,4.484546785120607,,4.484546785120607,4.484546785120607,1
ipw_custom,4.61006402305032,,4.61006402305032,4.61006402305032,1
matching_propensity_custom,67.49227132205856,,67.49227132205856,67.49227132205856,1
